cr_id,gender,age,race
1000000,FEMALE,48.0,WHITE
1000001,MALE,31.0,BLACK
1000002,MALE,42.0,HISPANIC
1000004,MALE,60.0,HISPANIC
1000004,MALE,52.0,WHITE
1000005,FEMALE,34.0,BLACK
1000006,MALE,52.0,BLACK
1000007,FEMALE,55.0,WHITE
1000009,MALE,38.0,HISPANIC
1000010,MALE,42.0,BLACK
1000014,FEMALE,54.0,BLACK
1000015,FEMALE,,BLACK
1000016,MALE,66.0,BLACK
1000017,FEMALE,34.0,HISPANIC
1000018,MALE,,
1000020,MALE,33.0,BLACK
1000021,FEMALE,54.0,BLACK
1000022,FEMALE,68.0,BLACK
1000023,MALE,51.0,BLACK
1000024,FEMALE,32.0,HISPANIC
1000025,FEMALE,51.0,HISPANIC
1000026,FEMALE,,BLACK
1000026,FEMALE,28.0,BLACK
1000027,FEMALE,,HISPANIC
1000028,MALE,35.0,HISPANIC
1000030,MALE,36.0,BLACK
1000031,FEMALE,43.0,BLACK
1000033,MALE,59.0,BLACK
1000034,FEMALE,56.0,BLACK
1000035,FEMALE,58.0,WHITE
1000036,MALE,38.0,BLACK
1000037,FEMALE,56.0,BLACK
1000040,FEMALE,61.0,BLACK
1000041,MALE,36.0,BLACK
1000042,MALE,36.0,BLACK
1000043,FEMALE,50.0,BLACK
1000043,FEMALE,67.0,BLACK
1000044,MALE,,BLACK
1000046,MALE,61.0,WHITE
1000047,MALE,54.0,WHITE
1000048,FEMALE,54.0,HISPANIC
1000049,MALE,39.0,BLACK
1000050,MALE,51.0,BLACK
1000052,FEMALE,65.0,WHITE
1000053,MALE,59.0,BLACK
1000054,FEMALE,46.0,BLACK
1000055,MALE,31.0,BLACK
1000056,FEMALE,66.0,BLACK
1000058,MALE,52.0,HISPANIC
1000060,FEMALE,35.0,BLACK
1000061,MALE,,BLACK
1000062,FEMALE,46.0,BLACK
1000062,FEMALE,46.0,BLACK
1000065,MALE,38.0,BLACK
1000066,MALE,45.0,HISPANIC
1000067,FEMALE,40.0,BLACK
1000068,MALE,52.0,BLACK
1000069,MALE,58.0,WHITE
1000071,MALE,,BLACK
1000072,FEMALE,60.0,WHITE
1000073,FEMALE,45.0,BLACK
1000075,MALE,31.0,BLACK
1000076,FEMALE,62.0,BLACK
1000080,FEMALE,58.0,WHITE
1000082,MALE,39.0,BLACK
1000083,FEMALE,39.0,BLACK
1000084,MALE,30.0,WHITE
1000085,MALE,36.0,HISPANIC
1000086,FEMALE,,BLACK
1000087,FEMALE,41.0,BLACK
1000090,MALE,,BLACK
1000092,FEMALE,,WHITE
1000092,FEMALE,,WHITE
1000093,FEMALE,42.0,BLACK
1000094,MALE,47.0,BLACK
1000096,MALE,43.0,BLACK
1000097,MALE,68.0,WHITE
1000098,FEMALE,46.0,BLACK
1000099,MALE,41.0,HISPANIC
1000100,FEMALE,42.0,BLACK
1000101,FEMALE,52.0,BLACK
1000102,FEMALE,57.0,HISPANIC
1000103,MALE,73.0,BLACK
1000104,FEMALE,41.0,BLACK
1000105,FEMALE,48.0,BLACK
1000106,MALE,74.0,BLACK
1000107,MALE,44.0,ASIAN/PACIFIC ISLANDER
1000108,FEMALE,32.0,BLACK
1000109,MALE,49.0,BLACK
1000111,MALE,36.0,BLACK
1000112,FEMALE,49.0,BLACK
1000112,MALE,47.0,BLACK
1000113,MALE,44.0,WHITE
1000114,FEMALE,31.0,BLACK
1000116,MALE,68.0,BLACK
1000118,MALE,52.0,BLACK
1000119,MALE,31.0,BLACK
1000120,MALE,36.0,BLACK
1000121,FEMALE,40.0,BLACK
1000122,FEMALE,52.0,BLACK
1000123,FEMALE,59.0,WHITE
1000124,FEMALE,36.0,BLACK
1000127,MALE,58.0,BLACK
1000130,FEMALE,29.0,BLACK
1000131,FEMALE,46.0,BLACK
1000132,MALE,43.0,HISPANIC
1000132,MALE,64.0,BLACK
1000132,MALE,38.0,BLACK
1000134,MALE,38.0,BLACK
1000136,MALE,37.0,BLACK
1000137,MALE,40.0,BLACK
1000137,FEMALE,38.0,BLACK
1000138,MALE,39.0,BLACK
1000139,FEMALE,66.0,BLACK
1000140,FEMALE,32.0,BLACK
1000140,FEMALE,56.0,BLACK
1000141,MALE,77.0,BLACK
1000142,FEMALE,,BLACK
1000143,MALE,46.0,BLACK
1000145,MALE,39.0,HISPANIC
1000146,FEMALE,52.0,BLACK
1000146,MALE,76.0,WHITE
1000147,MALE,56.0,HISPANIC
1000148,MALE,34.0,BLACK
1000149,MALE,46.0,HISPANIC
1000150,MALE,40.0,WHITE
1000151,FEMALE,38.0,BLACK
1000152,FEMALE,64.0,BLACK
1000153,MALE,,ASIAN/PACIFIC ISLANDER
1000154,MALE,49.0,HISPANIC
1000155,MALE,46.0,WHITE
1000156,FEMALE,47.0,BLACK
1000158,FEMALE,41.0,BLACK
1000159,MALE,49.0,WHITE
1000161,MALE,57.0,BLACK
1000162,MALE,50.0,WHITE
1000163,MALE,36.0,BLACK
1000165,MALE,34.0,BLACK
1000166,MALE,53.0,BLACK
1000168,MALE,68.0,WHITE
1000169,MALE,,WHITE
1000170,FEMALE,41.0,BLACK
1000172,MALE,54.0,HISPANIC
1000173,FEMALE,,BLACK
1000173,MALE,29.0,BLACK
1000175,FEMALE,33.0,BLACK
1000176,MALE,59.0,WHITE
1000178,MALE,,WHITE
1000180,MALE,30.0,WHITE
1000181,FEMALE,37.0,BLACK
1000182,FEMALE,59.0,BLACK
1000183,MALE,58.0,WHITE
1000184,FEMALE,42.0,BLACK
1000186,MALE,50.0,BLACK
1000188,MALE,96.0,BLACK
1000191,MALE,57.0,BLACK
1000193,MALE,51.0,HISPANIC
1000194,FEMALE,71.0,BLACK
1000195,MALE,32.0,BLACK
1000195,MALE,33.0,BLACK
1000196,MALE,32.0,WHITE
1000197,MALE,65.0,WHITE
1000199,FEMALE,69.0,WHITE
1000200,MALE,42.0,BLACK
1000201,MALE,57.0,BLACK
1000202,FEMALE,41.0,BLACK
1000203,FEMALE,48.0,BLACK
1000204,FEMALE,45.0,BLACK
1000205,MALE,30.0,BLACK
1000206,FEMALE,35.0,HISPANIC
1000207,FEMALE,,HISPANIC
1000209,MALE,67.0,WHITE
1000210,FEMALE,51.0,BLACK
1000211,FEMALE,59.0,BLACK
1000212,MALE,54.0,WHITE
1000213,MALE,,WHITE
1000214,MALE,49.0,BLACK
1000216,FEMALE,,BLACK
1000217,FEMALE,46.0,BLACK
1000218,FEMALE,36.0,HISPANIC
1000220,MALE,53.0,HISPANIC
1000221,MALE,75.0,BLACK
1000222,FEMALE,43.0,ASIAN/PACIFIC ISLANDER
1000224,FEMALE,40.0,BLACK
1000225,FEMALE,42.0,BLACK
1000227,MALE,53.0,WHITE
1000230,FEMALE,44.0,BLACK
1000231,FEMALE,64.0,BLACK
1000232,FEMALE,,HISPANIC
1000233,MALE,46.0,BLACK
1000235,MALE,48.0,BLACK
1000237,FEMALE,,BLACK
1000239,FEMALE,48.0,BLACK
1000241,MALE,48.0,BLACK
1000242,FEMALE,50.0,BLACK
1000244,FEMALE,55.0,BLACK
1000245,MALE,,BLACK
1000247,FEMALE,33.0,BLACK
1000248,FEMALE,35.0,BLACK
1000249,FEMALE,67.0,BLACK
1000250,FEMALE,,
1000251,MALE,35.0,BLACK
1000252,MALE,54.0,BLACK
1000253,MALE,38.0,BLACK
1000254,FEMALE,42.0,BLACK
1000255,FEMALE,45.0,BLACK
1000256,FEMALE,42.0,WHITE
1000257,FEMALE,41.0,HISPANIC
1000258,MALE,51.0,WHITE
1000259,MALE,51.0,WHITE
1000260,FEMALE,48.0,BLACK
1000263,FEMALE,61.0,BLACK
1000264,FEMALE,49.0,HISPANIC
1000265,MALE,42.0,BLACK
1000266,FEMALE,39.0,BLACK
1000268,FEMALE,84.0,BLACK
1000269,MALE,41.0,BLACK
1000270,MALE,62.0,WHITE
1000271,MALE,27.0,BLACK
1000272,MALE,30.0,HISPANIC
1000272,MALE,39.0,HISPANIC
1000274,FEMALE,43.0,BLACK
1000275,FEMALE,43.0,BLACK
1000276,MALE,63.0,WHITE
1000277,FEMALE,59.0,HISPANIC
1000278,FEMALE,37.0,HISPANIC
1000279,MALE,29.0,BLACK
1000280,MALE,45.0,WHITE
1000281,MALE,43.0,BLACK
1000282,MALE,35.0,BLACK
1000283,MALE,69.0,WHITE
1000285,MALE,33.0,BLACK
1000287,FEMALE,41.0,HISPANIC
1000291,FEMALE,46.0,WHITE
1000292,MALE,43.0,BLACK
1000293,FEMALE,53.0,BLACK
1000294,FEMALE,51.0,ASIAN/PACIFIC ISLANDER
1000295,MALE,,WHITE
1000296,MALE,28.0,BLACK
1000297,FEMALE,59.0,WHITE
1000298,FEMALE,44.0,BLACK
1000299,MALE,,BLACK
1000300,MALE,48.0,BLACK
1000301,MALE,49.0,WHITE
1000302,MALE,,WHITE
1000303,FEMALE,70.0,BLACK
1000305,MALE,46.0,WHITE
1000307,MALE,54.0,BLACK
1000308,FEMALE,38.0,WHITE
1000310,FEMALE,39.0,BLACK
1000311,FEMALE,,BLACK
1000312,MALE,54.0,WHITE
1000313,MALE,32.0,WHITE
1000314,FEMALE,,
1000316,FEMALE,56.0,HISPANIC
1000317,MALE,42.0,WHITE
1000319,MALE,56.0,WHITE
1000320,MALE,50.0,HISPANIC
1000320,MALE,,WHITE
1000320,MALE,,WHITE
1000320,FEMALE,,WHITE
1000321,FEMALE,,HISPANIC
1000322,FEMALE,42.0,BLACK
1000323,FEMALE,38.0,BLACK
1000324,MALE,33.0,BLACK
1000326,MALE,34.0,HISPANIC
1000327,FEMALE,67.0,WHITE
1000328,FEMALE,56.0,
1000329,MALE,28.0,BLACK
1000331,FEMALE,36.0,HISPANIC
1000331,MALE,38.0,HISPANIC
1000333,FEMALE,39.0,HISPANIC
1000335,MALE,36.0,WHITE
1000336,FEMALE,46.0,HISPANIC
1000339,MALE,33.0,BLACK
1000344,MALE,34.0,HISPANIC
1000345,MALE,60.0,BLACK
1000348,FEMALE,47.0,WHITE
1000350,FEMALE,,BLACK
1000351,MALE,44.0,WHITE
1000352,FEMALE,46.0,BLACK
1000353,MALE,,BLACK
1000354,FEMALE,49.0,WHITE
1000355,FEMALE,,BLACK
1000356,FEMALE,54.0,BLACK
1000357,FEMALE,56.0,BLACK
1000358,FEMALE,42.0,BLACK
1000359,MALE,33.0,BLACK
1000361,MALE,43.0,BLACK
1000362,FEMALE,,BLACK
1000362,MALE,55.0,BLACK
1000363,MALE,39.0,BLACK
1000364,MALE,60.0,WHITE
1000365,MALE,46.0,BLACK
1000366,FEMALE,59.0,BLACK
1000367,FEMALE,69.0,BLACK
1000368,FEMALE,,BLACK
1000369,FEMALE,39.0,BLACK
1000370,FEMALE,54.0,BLACK
1000370,FEMALE,31.0,BLACK
1000371,MALE,50.0,BLACK
1000372,FEMALE,,HISPANIC
1000373,FEMALE,,ASIAN/PACIFIC ISLANDER
1000374,FEMALE,,BLACK
1000376,MALE,49.0,BLACK
1000377,MALE,29.0,WHITE
1000378,FEMALE,52.0,WHITE
1000379,FEMALE,45.0,BLACK
1000380,FEMALE,45.0,BLACK
1000381,FEMALE,54.0,BLACK
1000382,FEMALE,41.0,BLACK
1000382,FEMALE,,BLACK
1000384,MALE,36.0,BLACK
1000385,FEMALE,38.0,HISPANIC
1000386,FEMALE,,
1000387,MALE,,BLACK
1000388,MALE,52.0,BLACK
1000389,MALE,49.0,BLACK
1000392,MALE,46.0,BLACK
1000393,FEMALE,37.0,HISPANIC
1000394,FEMALE,43.0,BLACK
1000395,FEMALE,49.0,
1000397,FEMALE,38.0,BLACK
1000398,MALE,31.0,BLACK
1000399,FEMALE,44.0,BLACK
1000401,FEMALE,37.0,BLACK
1000402,FEMALE,41.0,BLACK
1000403,MALE,,BLACK
1000404,MALE,43.0,HISPANIC
1000405,MALE,41.0,BLACK
1000406,FEMALE,68.0,BLACK
1000407,MALE,43.0,BLACK
1000408,FEMALE,,
1000409,FEMALE,43.0,BLACK
1000412,FEMALE,49.0,BLACK
1000414,MALE,62.0,BLACK
1000416,MALE,,
1000417,MALE,35.0,BLACK
1000420,FEMALE,45.0,WHITE
1000422,MALE,66.0,WHITE
1000424,MALE,36.0,BLACK
1000426,MALE,41.0,BLACK
1000427,MALE,46.0,BLACK
1000428,FEMALE,38.0,BLACK
1000431,MALE,59.0,BLACK
1000432,MALE,68.0,WHITE
1000434,FEMALE,69.0,HISPANIC
1000435,MALE,60.0,WHITE
1000435,MALE,57.0,BLACK
1000436,FEMALE,53.0,BLACK
1000436,FEMALE,51.0,WHITE
1000437,MALE,54.0,BLACK
1000440,FEMALE,51.0,BLACK
1000441,FEMALE,44.0,BLACK
1000442,MALE,56.0,WHITE
1000443,MALE,,BLACK
1000446,MALE,64.0,BLACK
1000447,MALE,31.0,BLACK
1000448,MALE,63.0,BLACK
1000449,MALE,44.0,BLACK
1000450,MALE,32.0,BLACK
1000451,FEMALE,77.0,BLACK
1000452,FEMALE,29.0,BLACK
1000454,MALE,33.0,ASIAN/PACIFIC ISLANDER
1000455,FEMALE,,BLACK
1000458,MALE,52.0,BLACK
1000461,MALE,52.0,WHITE
1000462,FEMALE,,WHITE
1000462,MALE,32.0,WHITE
1000464,FEMALE,58.0,BLACK
1000467,FEMALE,49.0,BLACK
1000468,FEMALE,55.0,BLACK
1000469,MALE,43.0,HISPANIC
1000473,FEMALE,,WHITE
1000474,FEMALE,35.0,BLACK
1000475,MALE,38.0,BLACK
1000476,MALE,48.0,BLACK
1000477,FEMALE,58.0,BLACK
1000479,MALE,36.0,BLACK
1000480,FEMALE,47.0,BLACK
1000482,FEMALE,27.0,BLACK
1000483,FEMALE,58.0,BLACK
1000484,MALE,44.0,BLACK
1000485,FEMALE,31.0,HISPANIC
1000486,FEMALE,66.0,BLACK
1000487,FEMALE,48.0,BLACK
1000489,FEMALE,55.0,HISPANIC
1000490,FEMALE,48.0,WHITE
1000491,MALE,46.0,HISPANIC
1000493,MALE,28.0,BLACK
1000495,FEMALE,32.0,BLACK
1000496,MALE,46.0,BLACK
1000498,FEMALE,34.0,BLACK
1000499,MALE,41.0,BLACK
1000500,MALE,36.0,
1000501,MALE,54.0,BLACK
1000502,MALE,45.0,BLACK
1000503,FEMALE,45.0,HISPANIC
1000504,MALE,50.0,BLACK
1000506,MALE,33.0,BLACK
1000507,MALE,62.0,BLACK
1000508,FEMALE,71.0,BLACK
1000509,MALE,46.0,BLACK
1000510,MALE,29.0,BLACK
1000511,MALE,35.0,WHITE
1000512,MALE,37.0,HISPANIC
1000513,MALE,58.0,BLACK
1000514,MALE,40.0,HISPANIC
1000515,MALE,33.0,BLACK
1000516,FEMALE,54.0,WHITE
1000518,FEMALE,65.0,BLACK
1000520,FEMALE,60.0,BLACK
1000521,FEMALE,41.0,BLACK
1000522,MALE,27.0,BLACK
1000523,FEMALE,47.0,WHITE
1000524,FEMALE,49.0,HISPANIC
1000525,FEMALE,72.0,BLACK
1000526,MALE,58.0,BLACK
1000527,FEMALE,44.0,BLACK
1000528,MALE,56.0,WHITE
1000530,MALE,58.0,BLACK
1000531,FEMALE,35.0,WHITE
1000532,FEMALE,59.0,WHITE
1000533,MALE,,
1000533,FEMALE,32.0,BLACK
1000534,MALE,,BLACK
1000536,FEMALE,54.0,BLACK
1000537,FEMALE,50.0,BLACK
1000538,FEMALE,37.0,BLACK
1000539,MALE,31.0,
1000540,FEMALE,48.0,BLACK
1000542,FEMALE,,BLACK
1000545,FEMALE,67.0,BLACK
1000546,MALE,42.0,BLACK
1000547,MALE,65.0,WHITE
1000548,FEMALE,57.0,BLACK
1000549,MALE,82.0,WHITE
1000550,FEMALE,55.0,WHITE
1000551,FEMALE,41.0,BLACK
1000552,FEMALE,47.0,BLACK
1000553,FEMALE,51.0,WHITE
1000554,FEMALE,57.0,BLACK
1000555,FEMALE,37.0,BLACK
1000556,MALE,50.0,
1000557,MALE,,
1000558,MALE,31.0,BLACK
1000559,MALE,32.0,HISPANIC
1000560,FEMALE,53.0,WHITE
1000563,MALE,27.0,WHITE
1000564,MALE,,BLACK
1000565,MALE,59.0,BLACK
1000568,MALE,56.0,BLACK
1000569,MALE,62.0,WHITE
1000571,FEMALE,53.0,BLACK
1000573,MALE,43.0,BLACK
1000574,MALE,,BLACK
1000575,FEMALE,34.0,BLACK
1000576,MALE,,HISPANIC
1000577,FEMALE,48.0,BLACK
1000578,MALE,52.0,WHITE
1000579,MALE,52.0,WHITE
1000579,MALE,67.0,WHITE
1000580,MALE,83.0,HISPANIC
1000581,FEMALE,35.0,BLACK
1000582,FEMALE,,WHITE
1000583,MALE,59.0,WHITE
1000584,MALE,38.0,BLACK
1000586,FEMALE,36.0,BLACK
1000590,MALE,43.0,WHITE
1000591,MALE,31.0,BLACK
1000593,FEMALE,48.0,BLACK
1000594,MALE,46.0,BLACK
1000596,MALE,33.0,BLACK
1000598,FEMALE,,BLACK
1000599,MALE,54.0,BLACK
1000600,MALE,46.0,WHITE
1000601,MALE,49.0,BLACK
1000602,MALE,38.0,HISPANIC
1000603,FEMALE,43.0,BLACK
1000605,FEMALE,32.0,BLACK
1000607,FEMALE,52.0,BLACK
1000609,FEMALE,40.0,BLACK
1000610,FEMALE,42.0,BLACK
1000611,MALE,44.0,HISPANIC
1000612,MALE,,BLACK
1000613,MALE,65.0,WHITE
1000614,FEMALE,44.0,BLACK
1000616,MALE,58.0,WHITE
1000617,FEMALE,42.0,BLACK
1000619,MALE,63.0,WHITE
1000620,FEMALE,46.0,BLACK
1000623,FEMALE,94.0,BLACK
1000624,FEMALE,63.0,WHITE
1000625,MALE,49.0,HISPANIC
1000625,MALE,54.0,HISPANIC
1000626,MALE,30.0,BLACK
1000627,MALE,57.0,WHITE
1000628,FEMALE,48.0,WHITE
1000629,FEMALE,62.0,BLACK
1000630,MALE,57.0,BLACK
1000630,FEMALE,51.0,BLACK
1000631,FEMALE,51.0,BLACK
1000632,FEMALE,,BLACK
1000633,MALE,52.0,BLACK
1000634,MALE,32.0,BLACK
1000635,FEMALE,41.0,BLACK
1000636,MALE,34.0,BLACK
1000637,FEMALE,33.0,BLACK
1000638,FEMALE,28.0,BLACK
1000639,MALE,,BLACK
1000640,MALE,43.0,BLACK
1000641,FEMALE,52.0,NATIVE AMERICAN/ALASKAN NATIVE
1000642,FEMALE,51.0,WHITE
1000643,MALE,29.0,BLACK
1000646,FEMALE,42.0,BLACK
1000648,FEMALE,41.0,WHITE
1000650,FEMALE,33.0,BLACK
1000651,MALE,36.0,BLACK
1000651,MALE,33.0,BLACK
1000652,MALE,,BLACK
1000653,FEMALE,55.0,BLACK
1000654,MALE,34.0,BLACK
1000655,FEMALE,48.0,BLACK
1000656,MALE,64.0,WHITE
1000657,FEMALE,42.0,WHITE
1000659,FEMALE,79.0,BLACK
1000661,MALE,36.0,HISPANIC
1000662,MALE,,WHITE
1000663,MALE,53.0,BLACK
1000664,FEMALE,64.0,BLACK
1000666,FEMALE,30.0,HISPANIC
1000667,MALE,28.0,HISPANIC
1000668,MALE,40.0,WHITE
1000669,MALE,,BLACK
1000671,FEMALE,41.0,BLACK
1000673,FEMALE,43.0,BLACK
1000674,FEMALE,,
1000675,FEMALE,45.0,BLACK
1000677,FEMALE,35.0,WHITE
1000681,FEMALE,,
1000682,MALE,69.0,WHITE
